date,category,keyword,sub_keywords,status
2026-06-16,건물주 실무 가이드,임대료 미납 대응 5단계 — 내용증명부터 명도소송까지,"내용증명,명도소송,임대차보호법",대기
2026-06-17,단기임대 전문,강남 단기임대 수익률 계산법 (2026 최신),"수익률,강남,2026",대기
2026-06-18,상업 건물 관리,근생 건물 관리비 누수 3곳 체크포인트,"관리비,근생,누수",대기
2026-06-19,하우스맨 케이스,18개월 공실 건물을 30일 만에 만실로 만든 방법,"공실,만실,케이스",대기
2026-06-20,하우스맨 SaaS 가이드,알림톡 자동 발송 설정 5분 튜토리얼,"알림톡,자동,튜토리얼",대기
2026-06-23,건물주 실무 가이드,임차인 계약 전 꼭 확인해야 할 체크리스트 15가지,"계약,체크리스트,리스크",대기
2026-06-24,단기임대 전문,풀옵션 원룸 세팅 — 필수 가전가구 20가지,"풀옵션,가전,가구",대기
2026-06-25,상업 건물 관리,오피스 사옥 유지관리 연간 예산 설계 공식,"예산,오피스,유지관리",대기
2026-06-26,건물주 실무 가이드,건물주 종합소득세 절세 5가지 방법,"절세,종합소득세,세무",대기
2026-06-27,하우스맨 SaaS 가이드,하우스맨 대시보드 핵심 지표 7개 읽는 법,"대시보드,지표,KPI",대기
2026-06-30,단기임대 전문,단기임대 가능 지역 TOP 10 (수요·수익률 기준),"지역,TOP10,수요",대기
2026-07-01,건물주 실무 가이드,임대차보호법 2026 개정안 핵심 정리,"임대차보호법,2026,개정",대기
2026-07-02,하우스맨 케이스,2년 누적 미납 90% 회수한 10호실 실제 사례,"미납,회수,케이스",대기
2026-07-03,상업 건물 관리,상가 임대료 재협상 타이밍과 근거,"재협상,상가,임대료",대기
2026-07-04,하우스맨 SaaS 가이드,퇴실 정산 자동화 — 보증금 공제부터 PDF 발송까지,"퇴실,정산,PDF",대기
2026-07-07,건물주 실무 가이드,건물 화재보험 가입 시 꼭 체크할 특약 5가지,"화재보험,특약,보험",대기
2026-07-08,단기임대 전문,단기임대 vs 장기임대 — 건물주 입장 손익 비교,"단기,장기,손익",대기
2026-07-09,상업 건물 관리,근생 건물 엘리베이터 법정 점검 주기 완벽 정리,"엘리베이터,점검,법정",대기
2026-07-10,건물주 실무 가이드,공실 기간에 임대료 줄이기 vs 기다리기 — 수학적 분석,"공실,임대료,분석",대기
2026-07-11,하우스맨 SaaS 가이드,변동관리비 안분 계산 — 전기·수도·공용비 공정하게 나누는 법,"관리비,안분,공정",대기
2026-07-14,단기임대 전문,단기임대 청소·린넨 업체 선정 기준 7가지,"청소,린넨,업체",대기
2026-07-15,건물주 실무 가이드,임대인의 원상복구 요구 범위 — 판례 분석,"원상복구,판례,임대인",대기
2026-07-16,상업 건물 관리,오피스텔 관리규약 필수 조항 10가지,"관리규약,오피스텔,조항",대기
2026-07-17,하우스맨 케이스,포르쉐 코리아 사옥 유지관리 10년 이야기,"포르쉐,사옥,10년",대기
2026-07-18,하우스맨 SaaS 가이드,건물별 전용 이메일로 문서 자동 통합 — 업계 유일 기능,"이메일,자동,통합",대기
2026-07-21,건물주 실무 가이드,보증금 반환 분쟁 피하는 계약서 작성법,"보증금,분쟁,계약서",대기
2026-07-22,단기임대 전문,에어비앤비 vs 단기임대 — 규제·수익·리스크 비교,"에어비앤비,규제,비교",대기
2026-07-23,상업 건물 관리,근생 건물 소방 점검 체크리스트 20가지,"소방,점검,근생",대기
2026-07-24,건물주 실무 가이드,건물주 종합부동산세 2026 — 내 건물 해당 여부,"종부세,2026,기준",대기
2026-07-25,하우스맨 SaaS 가이드,미납 3단계 자동 독촉 — 임차인과의 불편 없이 회수,"미납,독촉,자동",대기
2026-07-28,하우스맨 케이스,비상주 관리사무소로 연간 관리비 30% 절감한 단지,"비상주,관리비,절감",대기
2026-07-29,단기임대 전문,단기임대 시작 전 체크해야 할 법적 요건 8가지,"법적요건,단기,체크",대기
2026-07-30,건물주 실무 가이드,건물 감가상각 절세 전략 — 초보 건물주 필독,"감가상각,절세,초보",대기
2026-07-31,상업 건물 관리,근생 건물 방역·소독 연간 스케줄 템플릿,"방역,소독,스케줄",대기
2026-08-01,하우스맨 SaaS 가이드,검침 자동화 — 외부 담당자 앱 5분 세팅,"검침,자동화,앱",대기
2026-08-04,단기임대 전문,단기임대 운영 수익률 10% 넘기는 4가지 전략,"수익률,10%,전략",대기
2026-08-05,건물주 실무 가이드,임차인 퇴실 시 체크해야 할 13가지,"퇴실,체크,임차인",대기
2026-08-06,상업 건물 관리,사옥 관리팀이 가장 많이 놓치는 법정 점검 5가지,"법정점검,사옥,관리팀",대기
2026-08-07,하우스맨 케이스,강남 빌라 3개 층 공실 해결 — 800 부동산 네트워크 활용,"공실,빌라,네트워크",대기
2026-08-08,하우스맨 SaaS 가이드,건물주 전용 대시보드 — 사장님은 안 봐도 되는 SaaS,"대시보드,건물주,자동",대기
2026-08-11,건물주 실무 가이드,임대소득 건강보험료 폭탄 피하는 법,"건강보험,임대소득,절감",대기
2026-08-12,단기임대 전문,단기임대 호실 인테리어 트렌드 2026,"인테리어,트렌드,2026",대기
2026-08-13,상업 건물 관리,오피스 공조 시설 연간 유지비 절감 7가지 팁,"공조,유지비,오피스",대기
2026-08-14,건물주 실무 가이드,무단 전대 발견했을 때 대응 순서 — 합법적 해지까지,"무단전대,해지,대응",대기
2026-08-15,하우스맨 SaaS 가이드,월 정산 리포트 — 사장님이 한 장만 보면 되는 이유,"정산,리포트,월말",대기
2026-08-18,단기임대 전문,단기임대 성공하는 사진·매물 등록 5가지 원칙,"사진,매물,등록",대기
2026-08-19,건물주 실무 가이드,상속받은 건물 관리 시작하는 법 — 초보자 30일 가이드,"상속,초보,30일",대기
2026-08-20,상업 건물 관리,상가 임차인 유치 마케팅 전략 5가지,"유치,마케팅,상가",대기
2026-08-21,하우스맨 케이스,서울 서초구 5층 오피스빌딩 리모델링 후 수익 200% 증가,"리모델링,수익,서초",대기
2026-08-22,하우스맨 SaaS 가이드,블럭 계좌 시스템 — 용도별 입금 자동 분류,"블럭계좌,자동분류,입금",대기
2026-08-25,건물주 실무 가이드,전세 보증금 분할 반환 — 임차인 사정 배려하면서 안전하게,"분할반환,전세,안전",대기
2026-08-26,단기임대 전문,단기임대 예약 플랫폼 TOP 5 비교,"플랫폼,예약,비교",대기
2026-08-27,상업 건물 관리,근생 건물 주차장 운영 수익화 4가지 방법,"주차장,수익화,근생",대기
2026-08-28,건물주 실무 가이드,사적 임대업 등록 vs 일반 임대 — 세무 차이,"등록임대,세무,비교",대기
2026-08-29,하우스맨 SaaS 가이드,전자계약 DOCX — PASS 인증으로 10분 내 계약 완료,"전자계약,PASS,DOCX",대기
2026-09-01,하우스맨 케이스,서울 마포구 근생 2개 층 공실 15일 만에 계약 완료,"공실,마포,근생",대기
2026-09-02,단기임대 전문,단기임대 보안 — 스마트키·CCTV·입실 확인,"스마트키,CCTV,보안",대기
2026-09-03,건물주 실무 가이드,임대 수익 신고 누락 시 추징 세금 — 실제 사례,"추징,누락,세금",대기
2026-09-04,상업 건물 관리,오피스 사옥 에너지 절감 — 연간 1천만원 아끼는 법,"에너지,절감,오피스",대기
2026-09-05,하우스맨 SaaS 가이드,청구서 자동 생성 — 엑셀 탈출 가이드,"청구서,자동,엑셀",대기
2026-09-08,단기임대 전문,단기임대 분쟁 TOP 7과 예방법,"분쟁,예방,단기",대기
2026-09-09,건물주 실무 가이드,법인 소유 건물 vs 개인 소유 — 장단점 비교,"법인,개인,비교",대기
2026-09-10,상업 건물 관리,근생 임대료 인상 협의 시나리오 — 3가지 케이스,"인상,협의,근생",대기
2026-09-11,하우스맨 케이스,관악구 원룸 12개 호실 미납 제로화 — 자동 알림 도입 효과,"관악,원룸,미납",대기
2026-09-12,하우스맨 SaaS 가이드,단전 3단계 알림 — 임차인과의 불편 없이 효과적 대응,"단전,알림,임차인",대기
2026-09-15,건물주 실무 가이드,임대차 계약 특약 조항 — 반드시 넣어야 할 10가지,"특약,계약,조항",대기
2026-09-16,단기임대 전문,단기임대 입퇴실 프로세스 — 24시간 자동화 운영,"입퇴실,자동화,24시간",대기
2026-09-17,상업 건물 관리,사옥 CCTV 운영 — 사생활 보호와 보안 사이 기준,"CCTV,사생활,보안",대기
2026-09-18,건물주 실무 가이드,임차인 변경 시 꼭 체크할 11가지,"임차인변경,체크,인수인계",대기
2026-09-19,하우스맨 SaaS 가이드,자동 수금 매칭 — 은행 입금 자동 연동 방법,"수금,자동,은행연동",대기
2026-09-22,단기임대 전문,단기임대 시즌성 — 여름·겨울 가격 전략,"시즌성,가격,전략",대기
2026-09-23,건물주 실무 가이드,건물 매각 타이밍 — 수익률·시세·세금 종합 판단,"매각,타이밍,종합",대기
2026-09-24,상업 건물 관리,근생 건물 임대료 체납 회수 — 합법적 절차 7단계,"체납,회수,근생",대기
2026-09-25,하우스맨 케이스,동작구 오피스텔 15호실 위탁 전환 — 수익 1.5배 증가,"동작,오피스텔,위탁",대기
2026-09-26,하우스맨 SaaS 가이드,할 일 자동 생성 — 16가지 트리거 완벽 정리,"할일,트리거,자동",대기
2026-09-29,건물주 실무 가이드,신축 건물 첫 임대 성공 7가지 팁,"신축,첫임대,팁",대기
2026-09-30,단기임대 전문,단기임대 경쟁력 — 차별화 요소 10가지,"경쟁력,차별화,단기",대기
2026-10-01,상업 건물 관리,사옥 방문객 응대 시스템 — 소규모 기업용,"방문객,응대,시스템",대기
2026-10-02,건물주 실무 가이드,임대사업자 부가가치세 환급 완벽 가이드,"부가세,환급,임대사업자",대기
2026-10-06,하우스맨 SaaS 가이드,건물주 정산 리포트 자동 발송 — 이메일·카톡 선택,"정산,자동발송,건물주",대기
2026-10-07,단기임대 전문,단기임대 예약 취소 정책 — 공정하고 효과적으로,"취소,정책,공정",대기
2026-10-08,건물주 실무 가이드,임대차 계약 연장·갱신 차이 — 실무 적용,"연장,갱신,계약",대기
2026-10-10,상업 건물 관리,근생 건물 간판 관리 — 허가·유지·교체 순서,"간판,허가,교체",대기
2026-10-13,하우스맨 케이스,강동구 원룸 8호실 공실 해소 — 가격 조정 vs 마케팅 선택,"강동,원룸,공실",대기
2026-10-14,하우스맨 SaaS 가이드,입출금관리 + 정산 통합 — 통장 데이터를 정산서까지,"입출금,정산,통합",대기
2026-10-15,건물주 실무 가이드,중개보수 이해 — 건물주가 내야 할 경우·금액,"중개보수,건물주,금액",대기
2026-10-16,단기임대 전문,단기임대 해외 임차인 대응 — 언어·결제·법적 고려사항,"외국인,단기,대응",대기
2026-10-17,상업 건물 관리,오피스텔 임대료 세무 처리 — 종합소득 vs 분리과세,"오피스텔,세무,분리과세",대기
2026-10-20,건물주 실무 가이드,임대차 분쟁 조정위원회 이용법 — 법원 가기 전 단계,"조정위,분쟁,법원",대기
2026-10-21,하우스맨 SaaS 가이드,"미납 위험도 계산 — 7·30·60·90일, 단계별 조치",미납위험,계산,단계,대기
2026-10-22,단기임대 전문,단기임대 손해보험 — 사고 시 대응과 보장 범위,"손해보험,단기,보장",대기
2026-10-23,건물주 실무 가이드,임대소득 3천만원 초과 시 꼭 알아야 할 세무 이슈,"3천만원,세무,초과",대기
2026-10-24,상업 건물 관리,사옥 출입 보안 — 지문·카드·앱 비교,"보안,출입,지문",대기
2026-10-27,하우스맨 케이스,광진구 빌라 리모델링 + 단기임대 전환 — 수익 3배,"광진,리모델링,전환",대기
2026-10-28,하우스맨 SaaS 가이드,임차인 공지사항 일괄 발송 — 알림톡으로 빠르게,"공지,알림톡,일괄",대기
2026-10-29,건물주 실무 가이드,임대차 권리금 — 상가 건물주 알아야 할 전부,"권리금,상가,건물주",대기
2026-10-30,단기임대 전문,단기임대 세탁·조식 서비스 도입 여부 판단,"세탁,조식,서비스",대기
2026-10-31,상업 건물 관리,근생 건물 공용부 청소 — 외주 vs 직영 비교,"청소,외주,직영",대기
2026-11-03,건물주 실무 가이드,임대 사업 부채 관리 — 레버리지 최적화,"레버리지,부채,임대",대기
2026-11-04,하우스맨 SaaS 가이드,전자계약 시스템 — 대면 없이 10분 내 완료,"전자계약,비대면,10분",대기
2026-11-05,단기임대 전문,단기임대 성과 측정 지표 — 수익률·점유율·만족도,"지표,측정,성과",대기
2026-11-06,건물주 실무 가이드,임대주택 장기 수선 계획 — 10년 로드맵 템플릿,"장기수선,10년,로드맵",대기
